active_main_bad_parity_count,audit_status,completed,episode_id,ever_H_lt_15_own_main,ever_H_lt_15_root_eligible,final_status,first_H_lt_15,first_H_lt_15_root_eligible,first_player,initial_own_main_fingerprint,issues,max_global_turn,metadata_episode_state,metadata_reward,min_H_own_main,opponent_submission_id,outcome,own_first,own_main_count,own_player_index,replay_available,replay_outcome,replay_path,replay_reward,replay_sha256,replay_steps,root_eligible_count,submission_id,turn10_category,turn10_global_turn,turn10_legacy_search_compatible,turn10_looking_present,turn10_maxCount,turn10_minCount,turn10_opponent_H,turn10_opponent_deck,turn10_opponent_hand,turn10_opponent_prizes,turn10_options,turn10_own_deck,turn10_own_prizes,turn10_own_turn,turn10_replay_step,turn10_root_eligible,turn10_target_global_turn,turn15_category,turn15_global_turn,turn15_legacy_search_compatible,turn15_looking_present,turn15_maxCount,turn15_minCount,turn15_opponent_H,turn15_opponent_deck,turn15_opponent_hand,turn15_opponent_prizes,turn15_options,turn15_own_deck,turn15_own_prizes,turn15_own_turn,turn15_replay_step,turn15_root_eligible,turn15_target_global_turn,turn5_category,turn5_global_turn,turn5_legacy_search_compatible,turn5_looking_present,turn5_maxCount,turn5_minCount,turn5_opponent_H,turn5_opponent_deck,turn5_opponent_hand,turn5_opponent_prizes,turn5_options,turn5_own_deck,turn5_own_prizes,turn5_own_turn,turn5_replay_step,turn5_root_eligible,turn5_target_global_turn
0,ok,True,104460210,False,False,DONE,,,0,5c02f27fe0ef9ec266fcf081371377d53c7fce7cc01e510772bd1ae339ca69b4,no_explicit_terminal_engine_result,5,EpisodeState.COMPLETED,-1,49,55531786,loss,False,8,1,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104460210-replay.json,-1,f23e23cc93f930d87c771375af15e30ecbbb53b687ec71efa3a96631c365659f,58,8,55565056,ended_before,,,,,,,,,,,,,,,,20,ended_before,,,,,,,,,,,,,,,,30,ended_before,,,,,,,,,,,,,,,,10
0,ok,True,104455710,True,True,DONE,,,0,42cb2c4f94fe9ade041c59b527586a2f71757a5ef63df045a8e26e0dd30c9026,no_explicit_terminal_engine_result,26,EpisodeState.COMPLETED,1,6,55552677,win,False,49,1,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104455710-replay.json,1,b274d0e6005a95ff579cfd464c1aa2e363bac6e6c4981e6f0a844767dd27bcfa,140,45,55565056,reached,20,True,False,1,1,34,11,20,3,9,12,6,10,111,True,,ended_before,,,,,,,,,,,,,,,,30,reached,10,False,False,1,1,44,35,3,6,21,19,6,5,56,False,
0,ok,True,104443709,False,False,DONE,,,0,1499d221aaf079e8ef68559030a291db9a5acaf13187a1c58e4c110a1e8f1ce0,no_explicit_terminal_engine_result,8,EpisodeState.COMPLETED,-1,33,55564432,loss,True,15,0,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104443709-replay.json,-1,d9a5f8e5f79ac1294dd27b32407f1c592093259e39c3eee4e85ed6ddc6f7137d,72,12,55565056,ended_before,,,,,,,,,,,,,,,,19,ended_before,,,,,,,,,,,,,,,,29,ended_before,,,,,,,,,,,,,,,,9
0,ok,True,104432177,True,True,DONE,,,0,db27b608bffb84e8bc0b45e450a10204180a2541406bef520111375ba3f25a02,no_explicit_terminal_engine_result,38,EpisodeState.COMPLETED,-1,7,54913809,loss,True,55,0,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104432177-replay.json,-1,d5a8ba28843aeb1b6463ce74918230d342305206d23514ae47bfd259071fd960,176,46,55565056,reached,19,False,False,1,1,23,17,3,3,13,28,6,10,99,False,,reached,29,True,False,1,1,13,7,4,2,12,8,6,15,151,True,,reached,9,True,False,1,1,33,24,4,5,2,42,6,5,60,True,
0,ok,True,104420618,False,False,DONE,,,0,10412a00ff52518f3c77db5a4a83cd3a41155e66a95160d9f1118fc6bc3cef6e,no_explicit_terminal_engine_result,17,EpisodeState.COMPLETED,1,21,55426785,win,True,38,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104420618-replay.json,1,969f2b74c91b2f63c7919c1a498b570b822d192f95a0425432cec84d96f03dd1,126,32,55565056,ended_before,,,,,,,,,,,,,,,,19,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,30,15,10,5,11,28,6,5,78,True,
0,ok,True,104409050,False,False,DONE,,,0,7872d96ae5b81b64841e45b8959e5af7243d6592f2fdf24b42df0dc6222de7c9,no_explicit_terminal_engine_result,29,EpisodeState.COMPLETED,1,16,55372125,win,True,35,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104409050-replay.json,1,a89eb0a41e822786e1da732a46f4e605d3b5bff500bac55beb3565868b5fce82,136,31,55565056,reached,19,True,False,1,1,20,5,11,4,6,32,6,10,111,True,,reached,29,True,False,1,1,16,0,12,4,8,27,6,15,133,True,,reached,9,True,False,1,1,28,17,6,5,3,37,6,5,76,True,
0,ok,True,104397088,False,False,DONE,,,0,43eb7fa35b82196efe52b684dcf9559af5f5ab86befe4a5c1a1440868b56eed0,no_explicit_terminal_engine_result,21,EpisodeState.COMPLETED,-1,21,55526410,loss,False,42,1,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104397088-replay.json,-1,3f4595e9e039e75c4387729bb4a85979788b7663323c8b646bac1d2f3f56126a,132,36,55565056,reached,20,True,False,1,1,21,15,5,1,12,14,6,10,127,True,,ended_before,,,,,,,,,,,,,,,,30,reached,10,True,False,1,1,32,23,4,5,8,33,6,5,77,True,
0,ok,True,104396119,False,False,DONE,,,0,2921c3c49d126354debfde11c19a8346399a918d9e9c2d2864001d2b70732a85,no_explicit_terminal_engine_result,29,EpisodeState.COMPLETED,-1,24,54641361,loss,False,44,1,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104396119-replay.json,-1,626462e7452b15ab9f334782bacf2ac28d500cb3525c298f00903133977fea94,137,41,55565056,reached,20,True,False,1,1,31,22,6,3,7,14,6,10,94,True,,ended_before,,,,,,,,,,,,,,,,30,reached,10,True,False,1,1,41,34,3,4,7,31,6,5,61,True,
0,ok,True,104384548,True,True,DONE,,,0,355dadabfd24295f8112b038583ac2ade0dabe499e42aa72e605e55ab905c630,no_explicit_terminal_engine_result,23,EpisodeState.COMPLETED,1,14,55542530,win,True,43,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104384548-replay.json,1,f0ba76200301a186f11bb2c094d36c48156fd5824f5b3605955dbe32cfc94453,149,42,55565056,reached,19,True,False,1,1,15,6,6,3,8,12,6,10,130,True,,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,37,12,19,6,11,26,6,5,72,True,
0,ok,True,104372508,False,False,DONE,,,0,195dab91a5fcda47b6774dc588830846b65459fe3fc9c3dc340e48e789df4de1,no_explicit_terminal_engine_result,20,EpisodeState.COMPLETED,1,20,55552160,win,False,38,1,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104372508-replay.json,1,9eecd26f9c71c4cdd5265858cd990d442acd7c53f44b25e0d1609c537cd3648f,184,35,55565056,reached,20,True,False,1,1,20,11,8,1,7,14,1,10,180,True,,ended_before,,,,,,,,,,,,,,,,30,reached,10,True,False,1,1,34,25,5,4,7,35,4,5,98,True,
0,ok,True,104360940,False,False,DONE,,,0,0776e6e787d6b77a6cc22fcd98d36fc5eeb1d74880187c39756b71ba1d0e3894,no_explicit_terminal_engine_result,21,EpisodeState.COMPLETED,1,15,55548458,win,True,38,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104360940-replay.json,1,337c2998223e6ae2377a32ea9aa601eb465486ec284df99f91d970d655591691,189,32,55565056,reached,19,True,False,1,1,18,13,4,1,10,21,3,10,175,True,,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,31,23,3,5,11,36,6,5,79,True,
0,ok,True,104349382,False,False,DONE,,,0,8f8024e682a987ad00c548934b9fe013b88ed76504879e4f838f4758a1fd1a81,no_explicit_terminal_engine_result,10,EpisodeState.COMPLETED,-1,29,55498827,loss,True,13,0,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104349382-replay.json,-1,e7151c354ebc8ea3a0ee592683a325075d22663f69ceb366be006f9bcfddc274,89,13,55565056,ended_before,,,,,,,,,,,,,,,,19,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,29,18,6,5,5,42,6,5,69,True,
0,ok,True,104346998,False,False,DONE,,,0,8798f80744250a9eee21198897170810e5a37a3d7f11ab198894bf921e2ea7e6,no_explicit_terminal_engine_result,21,EpisodeState.COMPLETED,-1,25,55541803,loss,False,40,1,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104346998-replay.json,-1,980bf140ecba3b3309bdcbb7327a1385ef20a8a9551293b81dfde5e858da968d,171,37,55565056,reached,20,True,False,1,1,25,17,6,2,3,15,5,10,163,True,,ended_before,,,,,,,,,,,,,,,,30,reached,10,False,False,1,1,36,24,6,6,15,21,6,5,79,False,
0,ok,True,104345458,False,False,DONE,,,0,de047c5c7f6bd0e8dbc5766542d854ed44e8d40ac98d66ea6d7d1e29ea554175,no_explicit_terminal_engine_result,19,EpisodeState.COMPLETED,-1,23,55558687,loss,False,41,1,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104345458-replay.json,-1,f27a76d93a6098937b1e619dcbe6037e08ac17e393ce6a06da588efcd2d78c1b,175,39,55565056,ended_before,,,,,,,,,,,,,,,,20,ended_before,,,,,,,,,,,,,,,,30,reached,10,True,False,1,1,33,19,10,4,7,30,6,5,101,True,
0,ok,True,104333899,False,False,DONE,,,0,7f14d629e685da2fece4d971cd554acefa3e467e7f95702a168d5f79d0b5b845,no_explicit_terminal_engine_result,18,EpisodeState.COMPLETED,1,28,55230788,win,False,39,1,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104333899-replay.json,1,5fdc029eebe8b38a52ba028bd7701da2d97be18e5cc6c67d78bb0e30f7d39b54,137,20,55565056,ended_before,,,,,,,,,,,,,,,,20,ended_before,,,,,,,,,,,,,,,,30,reached,10,False,False,1,1,36,30,0,6,22,25,4,5,76,False,
0,ok,True,104332545,False,False,DONE,,,0,3b2a20b152cdc27cdd248d63bcc0a0e29afe21a754b3f57f9e4e41ad449b6bae,no_explicit_terminal_engine_result,37,EpisodeState.COMPLETED,-1,20,55546663,loss,False,55,1,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104332545-replay.json,-1,dfe66db0ee202603733c48154b0de8f97cc9a306ce8ff368593e96922c48fc51,225,45,55565056,reached,20,True,False,1,1,24,16,7,1,2,21,6,10,154,True,,reached,30,True,False,1,1,22,10,11,1,5,8,6,15,185,True,,reached,10,True,False,1,1,32,23,5,4,3,28,6,5,89,True,
0,ok,True,104320962,False,False,DONE,,,0,575e33b9cc1a27ff7d17ead97f7195a1e5e6b575b63ba6e9f83ba9c0c9e20f48,no_explicit_terminal_engine_result,15,EpisodeState.COMPLETED,1,17,55558641,win,True,30,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104320962-replay.json,1,c6eb6151d6d68e10c5c487e8856154f82092fdbb5aa8e326d18054eea687aafd,126,28,55565056,ended_before,,,,,,,,,,,,,,,,19,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,23,9,10,4,6,26,6,5,89,True,
0,ok,True,104312493,False,False,DONE,,,0,9bd9943d40a36ce9316222c9029ae6c287618437e849c50b2154cab567f1e3db,no_explicit_terminal_engine_result,16,EpisodeState.COMPLETED,1,20,55504973,win,False,32,1,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104312493-replay.json,1,4e9700ce41bcf198b80a291ab26350a91478a5ce3d5d18e2c455d1d5cde52be2,150,25,55565056,ended_before,,,,,,,,,,,,,,,,20,ended_before,,,,,,,,,,,,,,,,30,reached,10,False,False,1,1,27,16,5,6,27,21,5,5,109,False,
0,ok,True,104300315,False,False,DONE,,,0,a76c8d2dda9eba8df2c288f4a02bd738d4c81b5860fa6aae3467ff47b49d0ffc,no_explicit_terminal_engine_result,37,EpisodeState.COMPLETED,1,17,55158040,win,True,48,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104300315-replay.json,1,6c20f121c6c55c8f77be87e2c95d2463af5118a6f06ebd0ff9ed13f5f1423e6a,158,46,55565056,reached,19,True,False,1,1,23,15,7,1,4,17,6,10,117,True,,reached,29,True,False,1,1,21,7,13,1,8,11,6,15,134,True,,reached,9,True,False,1,1,37,17,17,3,3,28,6,5,78,True,
0,ok,True,104300861,True,True,DONE,,,0,47867629b9de16c134331f2895737185504f14e4d61669c3c1c1e0367602f632,no_explicit_terminal_engine_result,25,EpisodeState.COMPLETED,1,9,54663452,win,True,46,0,True,win,/private/tmp/kaggle_eps/55565056/replays/episode-104300861-replay.json,1,53aa311e798daea07346288cc9a7f32b684bc116b2fe064c0b3e96adcf047404,142,46,55565056,reached,19,True,False,1,1,18,9,5,4,11,14,6,10,113,True,,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,40,21,14,5,3,34,6,5,59,True,
0,ok,True,104288749,False,False,DONE,,,0,394596ba97bd336ebdf040c8ab949998d3ae17dc9fb16ce7ed2a82eadd079000,no_explicit_terminal_engine_result,16,EpisodeState.COMPLETED,-1,24,55545635,loss,True,37,0,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104288749-replay.json,-1,58dd3f81af8d59e4ddb41334a370336953509ba05b0e08f3d76c2d877f0a345a,198,35,55565056,ended_before,,,,,,,,,,,,,,,,19,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,35,22,9,4,10,30,6,5,99,True,
0,ok,True,104276782,False,False,DONE,,,0,52ed7790e493bb42c9956ab21dad9ff6532e1e64e1cfadc617ece56af96997e0,no_explicit_terminal_engine_result,14,EpisodeState.COMPLETED,-1,29,54970650,loss,True,36,0,True,loss,/private/tmp/kaggle_eps/55565056/replays/episode-104276782-replay.json,-1,f9d56f3f0c67d437f8090e9922daf2a84ed8f7a373405306acce2ea5994e6649,122,35,55565056,ended_before,,,,,,,,,,,,,,,,19,ended_before,,,,,,,,,,,,,,,,29,reached,9,True,False,1,1,31,14,14,3,5,25,6,5,80,True,
